,유지,버프,너프
win_rate,0.03512482683126779,-0.5818573807554047,0.5467325539241389
ban_rate_delta,-0.2673146525203562,-0.1902476418258709,0.45756229434622747
position_entropy,-0.11841799960802839,-0.061218582375797075,0.17963658198382532
primary_position_JUNGLE,-0.1589788982761908,0.04311562124734167,0.11586327702884887
patch_num,-0.030011808901008585,-0.02797607281960664,0.05798788172061257
win_rate_bottom,0.004476647481816126,-0.009333514000273376,0.004856866518457236
win_rate_top,0.19668514860099387,-0.1782516968211502,-0.018433451779843683
win_rate_utility,0.14123828762261473,-0.0379850164398105,-0.10325327118280417
win_rate_jungle,-0.027454558358581165,0.1724457378492245,-0.1449911794906433
pick_rate_delta,0.19026560561298905,-0.02395610116690491,-0.16630950444608447
win_rate_middle,-0.099856645532147,0.3163630813773993,-0.21650643584525225
