Feature,Importance
win_rate_jungle,239
win_rate_delta,225
win_rate_top,211
win_rate_utility,209
win_rate_middle,203
position_entropy,200
ban_pressure_delta,186
ban_rate_delta,182
combo_win_rate,177
win_rate_bottom,169
ban_rate,143
win_rate,141
ban_pressure,110
pick_rate_delta,109
presence_rate_delta,92
presence_rate,89
pick_rate,67
op_index_delta,66
primary_position_MIDDLE,66
op_index,52
primary_position_JUNGLE,50
primary_position_TOP,18
primary_position_BOTTOM,9
primary_position_UTILITY,1
