version,best_model,best_f1,f1_RandomForest,f1_XGBoost,f1_LightGBM
v1,RandomForest,0.3056,0.3056,0.3056,0.3056
v2,LightGBM,0.7742,0.563,0.6816,0.7742
v3,XGBoost,0.5635,0.4952,0.5635,0.3902
v4,RandomForest,0.32,0.32,0.32,0.3056
v5,RandomForest,0.32,0.32,0.3129,0.3056
